Unnamed: 0,Unnamed: 1,手机依赖总分,压力维度,焦虑维度,抑郁维度,戒断症状,渴求性,身心影响,每日手机使用时间
手机功能-打电话,皮尔逊相关性,0.185,0.114,0.087,0.028,0.231,0.155,0.073,-0.146
,显著性,0.161,0.389,0.512,0.833,0.078,0.242,0.585,0.269
手机功能-发短信,皮尔逊相关性,-0.117,-0.122,-0.013,-0.152,-0.078,-0.154,-0.107,-0.183
,显著性,0.378,0.357,0.923,0.25,0.559,0.245,0.418,0.165
手机功能-拍照摄影,皮尔逊相关性,-0.07,0.011,-0.148,-0.186,0.003,-0.102,-0.131,-0.104
,显著性,0.601,0.932,0.263,0.159,0.981,0.442,0.322,0.435
手机功能-上网,皮尔逊相关性,-0.258,-0.026,-0.213,-0.08,-0.287,-0.354,-0.047,0.091
,显著性,0.049,0.847,0.105,0.546,0.027,0.006,0.724,0.495
手机功能-看电视/听音乐,皮尔逊相关性,0.001,0.134,0.074,0.081,0.032,-0.106,0.037,0.13
,显著性,0.993,0.312,0.578,0.54,0.81,0.423,0.779,0.325
手机动机-人际交往,皮尔逊相关性,0.084,0.096,0.096,0.091,0.148,0.008,0.016,0.192
,显著性,0.527,0.469,0.47,0.495,0.265,0.95,0.902,0.146
手机动机-打发时间,皮尔逊相关性,0.067,0.096,0.074,0.157,0.077,0.117,-0.01,0.059
,显著性,0.615,0.471,0.579,0.236,0.563,0.379,0.938,0.659
手机动机-体现个性,皮尔逊相关性,0.341,0.107,0.287,0.122,0.248,0.484,0.253,0.199
,显著性,0.008,0.42,0.028,0.356,0.059,<0.001,0.053,0.13
手机动机-娱乐消遣,皮尔逊相关性,0.12,0.069,0.027,0.111,0.109,0.144,0.074,0.26
,显著性,0.367,0.603,0.837,0.402,0.409,0.277,0.575,0.047
手机动机-学习/工作需要,皮尔逊相关性,0.021,0.001,0.128,0.045,0.068,0.005,-0.045,0.184
,显著性,0.873,0.991,0.333,0.732,0.608,0.97,0.734,0.163
