,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
WD1,59.0,2.7966101694915255,1.1107571356410713,1.0,2.0,3.0,4.0,5.0,0.18439393045185362,-0.653689053288375
WD2,59.0,2.694915254237288,1.3032351957543777,1.0,2.0,3.0,4.0,5.0,0.2566816866183583,-1.0714864107529842
WD3,59.0,2.152542372881356,1.2007692839066058,1.0,1.0,2.0,3.0,5.0,0.685687478913278,-0.6534374680465844
WD4,59.0,3.3220338983050848,1.2517667234215708,1.0,3.0,4.0,4.0,5.0,-0.5893317578304728,-0.6130748467685834
WD5,59.0,2.8983050847457625,1.2689245413047316,1.0,2.0,3.0,4.0,5.0,0.09218351383646457,-1.0634921432916515
WD6,59.0,3.0847457627118646,1.235790066888948,1.0,2.0,3.0,4.0,5.0,0.004205154872907164,-0.9888149650952647
CR1,59.0,2.6440677966101696,1.2967161689863278,1.0,2.0,3.0,4.0,5.0,0.3093715965374921,-0.9722669720836707
CR2,59.0,2.610169491525424,1.326350309379508,1.0,1.0,3.0,4.0,5.0,0.3045852276782349,-1.0443050720696951
CR3,59.0,1.5593220338983051,0.9517893573228445,1.0,1.0,1.0,2.0,5.0,1.8734081961553724,3.084975315499983
PI1,59.0,3.0,1.203443335628631,1.0,2.0,3.0,4.0,5.0,0.12287215343481248,-0.8643931256713211
PI2,59.0,3.135593220338983,1.1811395304103878,1.0,2.0,3.0,4.0,5.0,-0.0764819124871723,-0.873699022022044
PI3,59.0,2.7966101694915255,1.1712012845195807,1.0,2.0,3.0,4.0,5.0,0.07821568088531443,-1.1304367394967292
PI4,59.0,3.1016949152542375,1.0617960589660185,1.0,2.0,3.0,4.0,5.0,-0.029987752541513233,-0.7734373398819256
ST1,59.0,1.8305084745762712,1.7135619523618384,0.0,0.0,2.0,3.0,6.0,0.5067929125262243,-0.6345986656415463
ST2,59.0,1.5254237288135593,1.6749259603130773,0.0,0.0,2.0,2.0,6.0,0.6607257233387253,-0.7239052318295731
ST3,59.0,2.4745762711864407,1.715607183190092,0.0,2.0,2.0,4.0,6.0,0.02348982854887863,-0.809442104694889
ST4,59.0,1.5932203389830508,1.6517351802834768,0.0,0.0,2.0,2.0,6.0,0.5903791169403679,-0.7267142552557071
ST5,59.0,2.0338983050847457,1.6811951997982457,0.0,0.0,2.0,4.0,6.0,0.327975528495714,-0.7034245867487212
ST6,59.0,2.1016949152542375,1.7190104937819084,0.0,0.0,2.0,3.0,6.0,0.5749476861860107,-0.14242392503852175
ST7,59.0,1.3559322033898304,1.3615750497177992,0.0,0.0,2.0,2.0,4.0,0.5056824376347369,-0.744386082523822
AN1,59.0,1.2542372881355932,1.5712198241579698,0.0,0.0,0.0,2.0,6.0,0.99755893218565,0.12230897653482886
AN2,59.0,1.0169491525423728,1.4080008501139776,0.0,0.0,0.0,2.0,4.0,1.043123636687081,-0.2048745456333969
AN3,59.0,0.711864406779661,1.1604227448713371,0.0,0.0,0.0,2.0,4.0,1.4153127542266584,1.0828734025819737
AN4,59.0,1.8644067796610169,1.569731221432335,0.0,0.0,2.0,4.0,4.0,0.12126441717971602,-1.3524896829026027
AN5,59.0,0.9830508474576272,1.4561584489348822,0.0,0.0,0.0,2.0,4.0,1.140114148995152,-0.13295506757251152
AN6,59.0,1.3559322033898304,1.5948485158245655,0.0,0.0,0.0,2.0,6.0,0.8658513263702837,-0.17743813766073302
AN7,59.0,0.9491525423728814,1.5019955555005564,0.0,0.0,0.0,2.0,4.0,1.2269832383015926,-0.064584062104307
DE1,59.0,0.8813559322033898,1.3009909454310251,0.0,0.0,0.0,2.0,4.0,1.1997922639253327,0.3154219796002655
DE2,59.0,1.4915254237288136,1.841784005419298,0.0,0.0,0.0,2.0,6.0,0.9480042579712165,-0.18742166785201197
DE3,59.0,0.7457627118644068,1.1078593888586106,0.0,0.0,0.0,2.0,4.0,1.1584579543307478,0.40396787888087937
DE4,59.0,1.2203389830508475,1.486349341799536,0.0,0.0,0.0,2.0,6.0,1.0416899910294302,0.5860243958346336
DE5,59.0,1.0508474576271187,1.4553554941184186,0.0,0.0,0.0,2.0,6.0,1.2983140869684162,1.251804569535325
DE6,59.0,0.3728813559322034,0.868972938841889,0.0,0.0,0.0,0.0,4.0,2.2831911063751194,4.7896754750029125
DE7,59.0,0.3050847457627119,0.8954720829344823,0.0,0.0,0.0,0.0,4.0,3.0758466613581095,9.164222083568708
